VEHICLE_ID,REPAIR_ORDER_NO,REPAIR_ORDER_DATE,ODOMETER,REPAIR_CODE,QTY,COST,DESCRIPTION
1C8840B63BB9E864D957AFFC3FDB92CF,35B25096998A00D9B800A4BA1DECDF5A,2018-03-15,134255,1E001008,1,38.7,"""A"" INSPECTION"
1C8840B63BB9E864D957AFFC3FDB92CF,35B25096998A00D9B800A4BA1DECDF5A,2018-03-15,134255,53999A01,1,1.95,SALES TAX
1C8840B63BB9E864D957AFFC3FDB92CF,358DF774E644514E250CE483C58EC696,2018-02-20,133205,13001026,1,80,"ROTOR , DISC  BRAKE"
1C8840B63BB9E864D957AFFC3FDB92CF,358DF774E644514E250CE483C58EC696,2018-02-20,133205,13001026,2,121.32,"ROTOR , DISC  BRAKE"
1C8840B63BB9E864D957AFFC3FDB92CF,358DF774E644514E250CE483C58EC696,2018-02-20,133205,13001029,1,87.76,"PAD, DISC BRAKE"
1C8840B63BB9E864D957AFFC3FDB92CF,358DF774E644514E250CE483C58EC696,2018-02-20,133205,53999A01,1,20.65,SALES TAX
1C8840B63BB9E864D957AFFC3FDB92CF,16A5CE13F02AE9995D8C06E4826981A7,2018-01-25,131623,18001031,1,88,HUB & BEARING ASSEMBLY
1C8840B63BB9E864D957AFFC3FDB92CF,16A5CE13F02AE9995D8C06E4826981A7,2018-01-25,131623,18001031,1,422.52,HUB & BEARING ASSEMBLY
1C8840B63BB9E864D957AFFC3FDB92CF,16A5CE13F02AE9995D8C06E4826981A7,2018-01-25,131623,53999A01,1,26.41,SALES TAX
62E9098BE6626D9C450DF56088D0D23B,1C7E77659DE881E25EB721D4C0AEA6B5,2018-08-16,119169,66012013,1,308.53,GLASS - WINDSHIELD
62E9098BE6626D9C450DF56088D0D23B,6021A9AFFF35BC32596D54595B046885,2018-07-19,98271,32001001,1,42.32,BATTERY
62E9098BE6626D9C450DF56088D0D23B,6021A9AFFF35BC32596D54595B046885,2018-07-19,98271,32002001,1,145.32,STARTER MOTOR
62E9098BE6626D9C450DF56088D0D23B,6021A9AFFF35BC32596D54595B046885,2018-07-19,98271,32001001,1,109.99,BATTERY
62E9098BE6626D9C450DF56088D0D23B,6021A9AFFF35BC32596D54595B046885,2018-07-19,98271,32001002,1,231.99,"CABLE , BATTERY TO STARTER"
62E9098BE6626D9C450DF56088D0D23B,DB58A36DC9458533A21F1EEF668F4BB6,2018-07-10,97679,1G001009,1,37,STATE INSPECTION
62E9098BE6626D9C450DF56088D0D23B,55D58186CE76CE493F9E00E029E03DE3,2018-05-07,95255,13001029,1,400,FRONT BRAKE PAD
62E9098BE6626D9C450DF56088D0D23B,55D58186CE76CE493F9E00E029E03DE3,2018-05-07,95255,53999A01,1,110.8,SALES TAX
62E9098BE6626D9C450DF56088D0D23B,55D58186CE76CE493F9E00E029E03DE3,2018-05-07,95255,17001002,1,165,"TIRE, RADIAL  RIB TREAD"
62E9098BE6626D9C450DF56088D0D23B,55D58186CE76CE493F9E00E029E03DE3,2018-05-07,95255,13001026,2,96.69,DISC - BRAKE
62E9098BE6626D9C450DF56088D0D23B,55D58186CE76CE493F9E00E029E03DE3,2018-05-07,95255,18001031,1,355.32,HUB & BEARING ASSEMBLY
62E9098BE6626D9C450DF56088D0D23B,55D58186CE76CE493F9E00E029E03DE3,2018-05-07,95255,13001028,1,139.59,"CALIPER, BRAKE"
62E9098BE6626D9C450DF56088D0D23B,55D58186CE76CE493F9E00E029E03DE3,2018-05-07,95255,13001029,1,89.73,"PAD, DISC BRAKE"
62E9098BE6626D9C450DF56088D0D23B,715B81C47172A4DEF294A06F2A8D73DF,2018-04-17,94512,17001002,1,165,"TIRE, RADIAL  RIB TREAD"
62E9098BE6626D9C450DF56088D0D23B,715B81C47172A4DEF294A06F2A8D73DF,2018-04-17,94512,53999A01,1,13.61,SALES TAX
62E9098BE6626D9C450DF56088D0D23B,D2D9A9B80D89527246865601F3DF6D72,2018-03-10,93704,1E001008,1,38.9,"""A"" INSPECTION"
62E9098BE6626D9C450DF56088D0D23B,D2D9A9B80D89527246865601F3DF6D72,2018-03-10,93704,53999A01,1,17.28,SALES TAX
62E9098BE6626D9C450DF56088D0D23B,D2D9A9B80D89527246865601F3DF6D72,2018-03-10,93704,17001002,1,165,"TIRE, RADIAL  RIB TREAD"
62E9098BE6626D9C450DF56088D0D23B,D2D9A9B80D89527246865601F3DF6D72,2018-03-10,93704,2024026,1,5.59,"SOLVENT , WINDSHIELD WASHER"
63A5D975858776E36A5BF39B668B3B24,D6C2DFF7B813F97B25B2E2D48D885CE1,2018-10-22,142780,1E001008,1,260.78,"""A"" INSPECTION"
63A5D975858776E36A5BF39B668B3B24,720F48DCFE928533B51FF796D84A2D6C,2018-09-17,141173,1E001008,1,175.87,"""A"" INSPECTION"
63A5D975858776E36A5BF39B668B3B24,E0BE672800B78F53224BC28F01F89A52,2018-08-21,141018,2010006,1,532.01,"MIRROR ASSEMBLY - OUTSIDE, REARVIEW"
63A5D975858776E36A5BF39B668B3B24,F40FA2EE6DC6F5A31D38EC34F8DAE1DA,2018-06-28,138485,82008047,1,140.41,LATCH - DOOR
63A5D975858776E36A5BF39B668B3B24,23745769E8256F854B60E0D84759EAFA,2018-06-26,132653,32002001,1,539.94,STARTER MOTOR
63A5D975858776E36A5BF39B668B3B24,23745769E8256F854B60E0D84759EAFA,2018-06-26,132653,1D001006,1,279.97,NON-EMERGENCY - ROADSIDE SERVICE
63A5D975858776E36A5BF39B668B3B24,23745769E8256F854B60E0D84759EAFA,2018-06-26,132653,53999A01,1,16.22,SALES TAX
63A5D975858776E36A5BF39B668B3B24,23745769E8256F854B60E0D84759EAFA,2018-06-26,132653,53999A13,1,29.67,SHOP SUPPLIES
63A5D975858776E36A5BF39B668B3B24,23745769E8256F854B60E0D84759EAFA,2018-06-26,132653,45004004,1,55.12,FLYWHEEL ASSEMBLY - CRANKSHAFT (INCL. STARTING RING GEAR)
63A5D975858776E36A5BF39B668B3B24,23745769E8256F854B60E0D84759EAFA,2018-06-26,132653,2004018,1,68.63,"HOOD, LIFT HANDLE"
63A5D975858776E36A5BF39B668B3B24,23745769E8256F854B60E0D84759EAFA,2018-06-26,132653,32001002,1,146.61,"CABLE , BATTERY TO STARTER"
63A5D975858776E36A5BF39B668B3B24,4ED5736D0598EDB0C548DBE35184ABBD,2018-06-04,135523,32001001,1,719.92,BATTERY
63A5D975858776E36A5BF39B668B3B24,4ED5736D0598EDB0C548DBE35184ABBD,2018-06-04,135523,2035015,1,15.99,"ASSEMBLY, WIPER BLADE"
63A5D975858776E36A5BF39B668B3B24,4ED5736D0598EDB0C548DBE35184ABBD,2018-06-04,135523,13001029,1,84.89,"PAD, DISC BRAKE"
63A5D975858776E36A5BF39B668B3B24,4ED5736D0598EDB0C548DBE35184ABBD,2018-06-04,135523,13001026,2,89.3,"ROTOR , DISC  BRAKE"
63A5D975858776E36A5BF39B668B3B24,4ED5736D0598EDB0C548DBE35184ABBD,2018-06-04,135523,13001026,2,106.91,"ROTOR , DISC  BRAKE"
63A5D975858776E36A5BF39B668B3B24,4ED5736D0598EDB0C548DBE35184ABBD,2018-06-04,135523,13002027,1,72.75,PAD - DISC BRAKE
63A5D975858776E36A5BF39B668B3B24,4ED5736D0598EDB0C548DBE35184ABBD,2018-06-04,135523,13001028,1,112.72,WHEEL CYLINDER ASSEMBLY - DISC BRAKE (CALIPER ASSEMBLY)
63A5D975858776E36A5BF39B668B3B24,4ED5736D0598EDB0C548DBE35184ABBD,2018-06-04,135523,32001001,1,139.85,BATTERY
63A5D975858776E36A5BF39B668B3B24,4ED5736D0598EDB0C548DBE35184ABBD,2018-06-04,135523,53999A13,1,40,SHOP SUPPLIES
63A5D975858776E36A5BF39B668B3B24,4ED5736D0598EDB0C548DBE35184ABBD,2018-06-04,135523,18001031,1,421.56,HUB & BEARING ASSEMBLY
63A5D975858776E36A5BF39B668B3B24,4ED5736D0598EDB0C548DBE35184ABBD,2018-06-04,135523,17002001,1,45.98,"TIRE , SEMI-PNEUMATIC, TREAD"
63A5D975858776E36A5BF39B668B3B24,4ED5736D0598EDB0C548DBE35184ABBD,2018-06-04,135523,13007007,2,14.38,"HOSE - HYDRAULIC, FRONT BRAKE"
63A5D975858776E36A5BF39B668B3B24,4ED5736D0598EDB0C548DBE35184ABBD,2018-06-04,135523,53999A01,1,100.09,SALES TAX
63A5D975858776E36A5BF39B668B3B24,4ED5736D0598EDB0C548DBE35184ABBD,2018-06-04,135523,17001002,2,199.59,"TIRE, RADIAL  RIB TREAD"
63A5D975858776E36A5BF39B668B3B24,60CA2F00E4C25C0789C3370A429B0428,2018-04-10,131956,90001002,1,380.54,BULK PRODUCT PUMP
63A5D975858776E36A5BF39B668B3B24,8D65587E1C3B1857E8545A6AE4B60DCA,2018-03-08,131956,17001001,1,176.05,"TIRE, RADIAL  LUG TREAD"
63A5D975858776E36A5BF39B668B3B24,8D65587E1C3B1857E8545A6AE4B60DCA,2018-03-08,131956,53999A01,1,0.24,SALES TAX
63A5D975858776E36A5BF39B668B3B24,C86C4E2DFCF867711A81EF65CBFBB8B9,2018-03-08,131201,66012013,1,255,GLASS - WINDSHIELD
63A5D975858776E36A5BF39B668B3B24,5E3230DC25D49F0A2DCF36F3C33F162D,2018-02-20,131201,34002003,1,134.99,TAIL LAMP LENS  
63A5D975858776E36A5BF39B668B3B24,5E3230DC25D49F0A2DCF36F3C33F162D,2018-02-20,131201,2010006,1,43.13,"MIRROR ASSEMBLY - OUTSIDE, REARVIEW"
63A5D975858776E36A5BF39B668B3B24,5E3230DC25D49F0A2DCF36F3C33F162D,2018-02-20,131201,34002022,2,127.54,"LAMP ASSEMBLY , REAR TAIL, STOP, & LICENSE COMBINATION"
63A5D975858776E36A5BF39B668B3B24,5E3230DC25D49F0A2DCF36F3C33F162D,2018-02-20,131201,53999A13,1,18,SHOP SUPPLIES
63A5D975858776E36A5BF39B668B3B24,5E3230DC25D49F0A2DCF36F3C33F162D,2018-02-20,131201,53999A01,2,19.03,SALES TAX
63A5D975858776E36A5BF39B668B3B24,4B1C40214342EE969D2B75A2B59765A5,2018-02-05,130718,1E001008,1,117.78,"""A"" INSPECTION"
D376B0AE4EE36A83281585837CF15A3D,220FE33544724C93A0955233CB82B038,2018-08-10,108088,20001001,1,160,DRIVE TRAIN DIAGNOSIS
D376B0AE4EE36A83281585837CF15A3D,220FE33544724C93A0955233CB82B038,2018-08-10,108088,27024044,1,137.5,WIRE HARNESS CONNECTOR - AUTO TRANSMISSION
D376B0AE4EE36A83281585837CF15A3D,220FE33544724C93A0955233CB82B038,2018-08-10,108088,27036008,1,28.17,FILTER - AUTO TRANS
D376B0AE4EE36A83281585837CF15A3D,220FE33544724C93A0955233CB82B038,2018-08-10,108088,27036002,1,6.92,OIL PAN GASKET - AUTO TRANS
D376B0AE4EE36A83281585837CF15A3D,220FE33544724C93A0955233CB82B038,2018-08-10,108088,27037002,10,6.28,"AUTOMATIC TRANSMISSION FLUID, (PER QUART / LITER)"
D376B0AE4EE36A83281585837CF15A3D,220FE33544724C93A0955233CB82B038,2018-08-10,108088,27024044,4,160,WIRE HARNESS CONNECTOR - AUTO TRANSMISSION
D376B0AE4EE36A83281585837CF15A3D,220FE33544724C93A0955233CB82B038,2018-08-10,108088,13002999,2,5.5,BRAKE CLEAN
D376B0AE4EE36A83281585837CF15A3D,220FE33544724C93A0955233CB82B038,2018-08-10,108088,27024016,1,6.4,MAIN CONTROL VALVE BODY GASKET - AUTO TRANS
